substrate_flux,o2_flux,growth_rate
0.0,0.0,0.0
0.0,-1.0,0.0
0.0,-2.0,0.0
0.0,-3.0,0.0
0.0,-4.0,0.0
0.0,-5.0,0.0
0.0,-6.0,0.0
0.0,-7.0,0.0
0.0,-8.0,0.0
0.0,-9.0,0.0
0.0,-10.0,0.0
0.0,-11.0,0.0
0.0,-12.0,0.0
0.0,-13.0,0.0
0.0,-14.0,0.0
0.0,-15.0,0.0
-1.0,0.0,0.0
-1.0,-1.0,0.0409402427059085
-1.0,-2.0,0.0779123122978569
-1.0,-3.0,0.08647858262764473
-1.0,-4.0,0.08647858262764442
-1.0,-5.0,0.08647858262764442
-1.0,-6.0,0.08647858262764442
-1.0,-7.0,0.08647858262764442
-1.0,-8.0,0.08647858262764442
-1.0,-9.0,0.08647858262764442
-1.0,-10.0,0.08647858262764442
-1.0,-11.0,0.08647858262764442
-1.0,-12.0,0.08647858262764442
-1.0,-13.0,0.08647858262764442
-1.0,-14.0,0.08647858262764442
-1.0,-15.0,0.08647858262764442
-2.0,0.0,0.020447500257655835
-2.0,-1.0,0.0703790685394298
-2.0,-2.0,0.11537690714588221
-2.0,-3.0,0.15483211106325956
-2.0,-4.0,0.1860222748609071
-2.0,-5.0,0.18602227486090347
-2.0,-6.0,0.18602227486090347
-2.0,-7.0,0.18602227486090347
-2.0,-8.0,0.18602227486090347
-2.0,-9.0,0.18602227486090347
-2.0,-10.0,0.18602227486090347
-2.0,-11.0,0.18602227486090347
-2.0,-12.0,0.18602227486090347
-2.0,-13.0,0.18602227486090347
-2.0,-14.0,0.18602227486090347
-2.0,-15.0,0.18602227486090347
-3.0,0.0,0.04807925736259475
-3.0,-1.0,0.09808736323999008
-3.0,-2.0,0.14727835612630705
-3.0,-3.0,0.18981362143354433
-3.0,-4.0,0.23175190982865748
-3.0,-5.0,0.2640085996335027
-3.0,-6.0,0.28556596709416554
-3.0,-7.0,0.28556596709416215
-3.0,-8.0,0.28556596709416215
-3.0,-9.0,0.28556596709416215
-3.0,-10.0,0.28556596709416215
-3.0,-11.0,0.28556596709416215
-3.0,-12.0,0.28556596709416215
-3.0,-13.0,0.28556596709416215
-3.0,-14.0,0.28556596709416215
-3.0,-15.0,0.28556596709416215
-4.0,0.0,0.0757110144675377
-4.0,-1.0,0.12579565794054914
-4.0,-2.0,0.17567058840156474
-4.0,-3.0,0.22171507041397512
-4.0,-4.0,0.2642503357212131
-4.0,-5.0,0.3067856010284482
-4.0,-6.0,0.3409283983989022
-4.0,-7.0,0.37318508820374835
-4.0,-8.0,0.3851096593274228
-4.0,-9.0,0.38510965932742225
-4.0,-10.0,0.38510965932742225
-4.0,-11.0,0.38510965932742225
-4.0,-12.0,0.38510965932742225
-4.0,-13.0,0.38510965932742225
-4.0,-14.0,0.38510965932742225
-4.0,-15.0,0.38510965932742225
-5.0,0.0,0.10334277157247651
-5.0,-1.0,0.15350395264111052
-5.0,-2.0,0.20337888310212549
-5.0,-3.0,0.25325381356313814
-5.0,-4.0,0.296151784701639
-5.0,-5.0,0.33868705000888066
-5.0,-6.0,0.3812223153161182
-5.0,-7.0,0.41784819716430593
-5.0,-8.0,0.45010488696915624
-5.0,-9.0,0.48236157677400143
-5.0,-10.0,0.4846533515606783
-5.0,-11.0,0.48465335156068345
-5.0,-12.0,0.48465335156068345
-5.0,-13.0,0.48465335156068345
-5.0,-14.0,0.48465335156068345
-5.0,-15.0,0.48465335156068345
-6.0,0.0,0.13097452867798975
-6.0,-1.0,0.18121224734168223
-6.0,-2.0,0.23108717780269172
-6.0,-3.0,0.280962108263706
-6.0,-4.0,0.32805323368207057
-6.0,-5.0,0.37058849898930446
-6.0,-6.0,0.4131237642965443
-6.0,-7.0,0.45565902960378385
-6.0,-8.0,0.4947679959297072
-6.0,-9.0,0.5270246857345513
-6.0,-10.0,0.5592813755394025
-6.0,-11.0,0.5841970437939505
-6.0,-12.0,0.5841970437939371
-6.0,-13.0,0.5841970437939371
-6.0,-14.0,0.5841970437939371
-6.0,-15.0,0.5841970437939371
-7.0,0.0,0.15860628581044234
-7.0,-1.0,0.20892054204224747
-7.0,-2.0,0.25879547250325086
-7.0,-3.0,0.3086704029642626
-7.0,-4.0,0.358545333425274
-7.0,-5.0,0.4024899479697304
-7.0,-6.0,0.44502521327697003
-7.0,-7.0,0.4875604785842127
-7.0,-8.0,0.5300957438914478
-7.0,-9.0,0.5716877946951038
-7.0,-10.0,0.6039444844999458
-7.0,-11.0,0.6362011743047946
-7.0,-12.0,0.6684578641096421
-7.0,-13.0,0.6837407360272022
-7.0,-14.0,0.6837407360272052
-7.0,-15.0,0.6837407360272052
-8.0,0.0,0.1862380428872961
-8.0,-1.0,0.23662883674280147
-8.0,-2.0,0.2865037672038084
-8.0,-3.0,0.3363786976648155
-8.0,-4.0,0.3862536281258351
-8.0,-5.0,0.4343913969501631
-8.0,-6.0,0.4769266622574028
-8.0,-7.0,0.5194619275646362
-8.0,-8.0,0.5619971928718744
-8.0,-9.0,0.6045324581791003
-8.0,-10.0,0.6470677234863512
-8.0,-11.0,0.6808642832653294
-8.0,-12.0,0.7131209730701948
-8.0,-13.0,0.7453776628750363
-8.0,-14.0,0.7776343526798841
-8.0,-15.0,0.7832844282604731
-9.0,0.0,0.2138697999922247
-9.0,-1.0,0.2643371314433645
-9.0,-2.0,0.3142120619043749
-9.0,-3.0,0.3640869923653866
-9.0,-4.0,0.41396192282639976
-9.0,-5.0,0.4638368532874121
-9.0,-6.0,0.5088281112378248
-9.0,-7.0,0.5513633765450651
-9.0,-8.0,0.593898641852302
-9.0,-9.0,0.6364339071595354
-9.0,-10.0,0.6789691724667766
-9.0,-11.0,0.7215044377740139
-9.0,-12.0,0.7577840820307473
-9.0,-13.0,0.7900407718355885
-9.0,-14.0,0.8222974616404347
-9.0,-15.0,0.8545541514452857
-10.0,0.0,0.2415015570971838
-10.0,-1.0,0.29204542614392975
-10.0,-2.0,0.341920356604932
-10.0,-3.0,0.3917952870659482
-10.0,-4.0,0.44167021752695873
-10.0,-5.0,0.49154514798796856
-10.0,-6.0,0.5407295602182518
-10.0,-7.0,0.5832648255254952
-10.0,-8.0,0.6258000908327308
-10.0,-9.0,0.6683353561399674
-10.0,-10.0,0.7108706214471995
-10.0,-11.0,0.7534058867544378
-10.0,-12.0,0.7959411520616749
-10.0,-13.0,0.8347038807961419
-10.0,-14.0,0.866960570601
-10.0,-15.0,0.8992172604058485
